Bandit,Reward,Algorithm
1042,1,thompson_sampling
1043,1,thompson_sampling
1044,1,thompson_sampling
1045,1,thompson_sampling
1046,1,thompson_sampling
1047,1,thompson_sampling
1048,1,thompson_sampling
1049,1,thompson_sampling
1050,1,thompson_sampling
1051,1,thompson_sampling
1052,1,thompson_sampling
1053,1,thompson_sampling
1054,1,thompson_sampling
1055,1,thompson_sampling
1056,1,thompson_sampling
1057,1,thompson_sampling
1058,1,thompson_sampling
1059,1,thompson_sampling
1060,1,thompson_sampling
1061,1,thompson_sampling
1062,1,thompson_sampling
1063,1,thompson_sampling
1064,1,thompson_sampling
1065,1,thompson_sampling
1066,1,thompson_sampling
1067,1,thompson_sampling
1068,1,thompson_sampling
1069,1,thompson_sampling
1070,1,thompson_sampling
1071,1,thompson_sampling
1072,1,thompson_sampling
1073,1,thompson_sampling
1074,1,thompson_sampling
1075,1,thompson_sampling
1076,1,thompson_sampling
1077,1,thompson_sampling
1078,1,thompson_sampling
1079,1,thompson_sampling
1080,1,thompson_sampling
1081,1,thompson_sampling
1082,1,thompson_sampling
1083,1,thompson_sampling
1084,1,thompson_sampling
1085,1,thompson_sampling
1086,1,thompson_sampling
1087,1,thompson_sampling
1088,1,thompson_sampling
1089,1,thompson_sampling
1090,1,thompson_sampling
1091,1,thompson_sampling
1092,1,thompson_sampling
1093,1,thompson_sampling
1094,1,thompson_sampling
1095,1,thompson_sampling
1096,1,thompson_sampling
1097,1,thompson_sampling
1098,1,thompson_sampling
1099,1,thompson_sampling
1100,1,thompson_sampling
1101,1,thompson_sampling
1102,1,thompson_sampling
1103,1,thompson_sampling
1104,1,thompson_sampling
1105,1,thompson_sampling
1106,1,thompson_sampling
1107,1,thompson_sampling
1108,1,thompson_sampling
1109,1,thompson_sampling
1110,1,thompson_sampling
1111,1,thompson_sampling
1112,1,thompson_sampling
1113,1,thompson_sampling
1114,1,thompson_sampling
1115,1,thompson_sampling
1116,1,thompson_sampling
1117,1,thompson_sampling
1118,1,thompson_sampling
1119,1,thompson_sampling
1120,1,thompson_sampling
1121,1,thompson_sampling
1122,1,thompson_sampling
1123,1,thompson_sampling
1124,1,thompson_sampling
1125,1,thompson_sampling
1126,1,thompson_sampling
1127,1,thompson_sampling
1128,1,thompson_sampling
1129,1,thompson_sampling
1130,1,thompson_sampling
1131,1,thompson_sampling
1132,1,thompson_sampling
1133,1,thompson_sampling
1134,1,thompson_sampling
1135,1,thompson_sampling
1136,1,thompson_sampling
1137,1,thompson_sampling
1138,1,thompson_sampling
1139,1,thompson_sampling
1140,1,thompson_sampling
1141,1,thompson_sampling
1142,1,thompson_sampling
1143,1,thompson_sampling
1144,1,thompson_sampling
1145,1,thompson_sampling
1146,1,thompson_sampling
1147,1,thompson_sampling
